ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
system_pxn0_pod0_core1_core,load_request_count,,Accumulator,57613899000,0,1257664,1257664,1257664,1,1
system_pxn0_pod0_core1_core,dram_load_latency_total,,Accumulator,57613899000,0,13156461,5708239263,30331,432,589
system_pxn0_pod0_core1_core,dram_load_request_count,,Accumulator,57613899000,0,30331,30331,30331,1,1
system_pxn0_pod0_core1_core,useful_busy_cycles,,Accumulator,57613899000,0,1723046,1723046,1723046,1,1
system_pxn0_pod0_core1_core,useful_memory_wait_cycles,,Accumulator,57613899000,0,26912059,26912059,26912059,1,1
system_pxn0_pod0_core1_core,useful_active_idle_cycles,,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core1_core,useful_load_latency_total,,Accumulator,57613899000,0,26912059,11227965441,692135,2,753
system_pxn0_pod0_core1_core,useful_load_request_count,,Accumulator,57613899000,0,692135,692135,692135,1,1
system_pxn0_pod0_core1_core,useful_dram_load_latency_total,,Accumulator,57613899000,0,13143464,5702607814,30301,432,589
system_pxn0_pod0_core1_core,useful_dram_load_request_count,,Accumulator,57613899000,0,30301,30301,30301,1,1
system_pxn0_pod0_core1_core,outstanding_requests_sum,,Accumulator,57613899000,0,30643137,30643137,30643137,1,1
system_pxn0_pod0_core1_core,useful_outstanding_requests_sum,,Accumulator,57613899000,0,27604194,27604194,27604194,1,1
system_pxn0_pod0_core1_core,dram_outstanding_requests_sum,,Accumulator,57613899000,0,13186792,13186792,13186792,1,1
system_pxn0_pod0_core1_core,useful_dram_outstanding_requests_sum,,Accumulator,57613899000,0,13173765,13173765,13173765,1,1
system_pxn0_pod0_core2_core,load_l1sp,hart_0,Accumulator,57613899000,0,662855,662855,662855,1,1
system_pxn0_pod0_core2_core,store_l1sp,hart_0,Accumulator,57613899000,0,464440,464440,464440,1,1
system_pxn0_pod0_core2_core,atomic_l1sp,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core2_core,load_l2sp,hart_0,Accumulator,57613899000,0,74981,74981,74981,1,1
system_pxn0_pod0_core2_core,store_l2sp,hart_0,Accumulator,57613899000,0,675,675,675,1,1
system_pxn0_pod0_core2_core,atomic_l2sp,hart_0,Accumulator,57613899000,0,148,148,148,1,1
system_pxn0_pod0_core2_core,load_dram,hart_0,Accumulator,57613899000,0,30333,30333,30333,1,1
system_pxn0_pod0_core2_core,store_dram,hart_0,Accumulator,57613899000,0,1,1,1,1,1
system_pxn0_pod0_core2_core,atomic_dram,hart_0,Accumulator,57613899000,0,27768,27768,27768,1,1
system_pxn0_pod0_core2_core,load_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core2_core,store_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core2_core,atomic_remote_pxn,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core2_core,useful_load_l1sp,hart_0,Accumulator,57613899000,0,410454,410454,410454,1,1
system_pxn0_pod0_core2_core,useful_store_l1sp,hart_0,Accumulator,57613899000,0,220126,220126,220126,1,1
system_pxn0_pod0_core2_core,useful_atomic_l1sp,hart_0,Accumulator,57613899000,0,0,0,0,0,0
system_pxn0_pod0_core2_core,useful_load_l2sp,hart_0,Accumulator,57613899000,0,5795,5795,5795,1,1
system_pxn0_pod0_core2_core,useful_store_l2sp,hart_0,Accumulator,57613899000,0,657,657,657,1,1
system_pxn0_pod0_core2_core,useful_atomic_l2sp,hart_0,Accumulator,57613899000,0,130,130,130,1,1
